proxy,value,sd,x,sampleID
mg_ca,0.06606,NA,11,ND-1016-3
d18o,2.0622,NA,11,ND-1016-4
mg_ca,0.10342,NA,11,ND-1016-4
d18o,1.59181,NA,11,NM-1016-1
mg_ca,0.104,NA,11,NM-1016-1
d18o,1.23513,NA,11,NM-1016-3
mg_ca,0.19299,0.002120250902171944,11,NM-1016-3
d18o,2.81123,NA,11,ORK_LT5
mg_ca,0.39612000000000003,0.006026007237134388,11,ORK_LT5
d18o,2.24023,NA,12,QG1-7188-1
mg_ca,0.45749,NA,12,QG1-7188-1
d18o,2.10023,NA,12,QG1-7189-2
mg_ca,0.44008,0.01502289133944357,12,QG1-7189-2
d18o,2.05023,NA,12,QG2-1061-1
mg_ca,0.47279,NA,12,QG2-1061-1
d18o,1.95023,NA,12,QG2-1064-1
mg_ca,0.49019,0.03312765663245741,12,QG2-1064-1
d18o,1.97023,NA,12,QG2-7180-1
mg_ca,0.467,NA,12,QG2-7180-1
d18o,3.86023,NA,12,QG2-7180-2
mg_ca,0.33533,0.007759950406415288,12,QG2-7180-2
d18o,3.49023,NA,12,QG1-7246-1
mg_ca,0.42111,0.016508357177411014,12,QG1-7246-1
d18o,2.65371,NA,12,ND-1016-3
mg_ca,0.06522,0.0020922730597770973,12,ND-1016-3
d18o,1.76601,NA,12,ND-1016-4
mg_ca,0.10514,0.0024079282972796654,12,ND-1016-4
d18o,1.72969,NA,12,NM-1016-1
mg_ca,0.09259,0.011590576945632557,12,NM-1016-1
d18o,1.18677,NA,12,NM-1016-3
mg_ca,0.20551,NA,12,NM-1016-3
d18o,2.90649,NA,12,ORK_LT5
mg_ca,0.38124,0.00451659681915962,12,ORK_LT5
d18o,2.06025,NA,13,QG1-7188-1
mg_ca,0.48109,0.007914383509564643,13,QG1-7188-1
d18o,1.81025,NA,13,QG1-7189-2
mg_ca,0.46806,NA,13,QG1-7189-2
d18o,2.00025,NA,13,QG2-1061-1
mg_ca,0.47281,NA,13,QG2-1061-1
d18o,2.14025,NA,13,QG2-1064-1
mg_ca,0.45982,0.019931234013461453,13,QG2-1064-1
d18o,1.97025,NA,13,QG2-7180-1
mg_ca,0.46702,NA,13,QG2-7180-1
d18o,3.34025,NA,13,QG2-7180-2
mg_ca,0.36378,0.0028221253955629634,13,QG2-7180-2
d18o,3.64025,NA,13,QG1-7246-1
mg_ca,0.44368,NA,13,QG1-7246-1
d18o,2.69945,NA,13,ND-1016-3
mg_ca,0.06392,0.0033950801252948877,13,ND-1016-3
d18o,1.63433,NA,13,ND-1016-4
mg_ca,0.11032,0.006775441998741331,13,ND-1016-4
d18o,2.33222,NA,13,NM-1016-1
mg_ca,0.07246,0.0031589474783804846,13,NM-1016-1
d18o,1.10944,NA,13,NM-1016-3
mg_ca,0.24832,0.03143859990173638,13,NM-1016-3
d18o,2.73324,NA,13,ORK_LT5
mg_ca,0.40305,0.015518516758905629,13,ORK_LT5
d18o,2.18027,NA,14,QG1-7188-1
mg_ca,0.45442,NA,14,QG1-7188-1
d18o,1.77027,NA,14,QG1-7189-2
mg_ca,0.47206,0.005629670579860594,14,QG1-7189-2
d18o,2.01027,NA,14,QG2-1061-1
mg_ca,0.48604,0.01538185756827625,14,QG2-1061-1
d18o,2.84027,NA,14,QG2-1064-1
mg_ca,0.42802,0.013038737037731698,14,QG2-1064-1
d18o,1.90027,NA,14,QG2-7180-1
mg_ca,0.46704,NA,14,QG2-7180-1
d18o,3.33027,NA,14,QG2-7180-2
mg_ca,0.38432,0.011829822340485177,14,QG2-7180-2
d18o,2.35027,NA,14,QG1-7246-1
mg_ca,0.47078,0,14,QG1-7246-1
d18o,2.35264,NA,14,ND-1016-3
mg_ca,0.075,0.003175176589638106,14,ND-1016-3
d18o,1.39157,NA,14,ND-1016-4
